variant,lattice,run_id,phase,kind,status,elapsed_s,message,Cell Size,Strut Thickness,Shell Thickness,resp_lattice_volume,resp_envelope_volume,resp_mass,resp_surface_area,resp_max_stress,resp_max_displacement,resp_min_thickness,out_Solve Time,porosity,mass_g,stiffness_N_mm,E_app_GPa,max_stress_MPa,max_stress_peak_MPa,sf_yield,sf_fatigue,pore_um,pore_estimated,strut_mm,surface_area_mm2,specific_surface_1_mm,lattice_volume_mm3,max_displacement_mm,cell_mm,relative_density,d_modulus,d_porosity,d_pore_size,d_sf_fatigue,d_sf_yield,d_strut,d_mass,d_surface_area,D,feasible,modulus_dev,resp_pore_size,pred_E_app_GPa,pred_porosity,pred_pore_um,pred_sf_yield,pred_sf_fatigue,pred_mass_g,pred_max_stress_MPa,pred_D
fusion_cage_diamond,diamond,screen_ff8427a1,screen,,cached,0.0,reused existing output,1.5,0.3,0.5,1605.7551,6000.0,7.113,17669.774,75.3773,0.0068525,0.3,109.8,0.7323741500000001,7.113,175118.56986501277,4.202845676760306,75.3773,125.62883333333333,7.561958308403193,4.6433077332300305,675.0,1.0,0.3,17669.774,11.004027949218408,1605.7551,0.0068525,1.5,0.26762584999999994,1.0,1.0,1.0,1.0,1.0,0.0,0.8461586275484834,0.5551565488902495,0.0,False,1.2028456767603064,,,,,,,,,
fusion_cage_diamond,diamond,screen_67b2dd89,screen,,cached,0.0,reused existing output,1.5,0.3,1.5,2422.7586,6000.0,10.732999999999999,15088.213,33.3134,0.0030285,0.3,109.9,0.5962069,10.732999999999999,396235.76027736504,9.509658246656759,33.3134,55.522333333333336,17.110231918687376,10.506282757088739,675.0,1.0,0.3,15088.213,6.227699697361511,2422.7586,0.0030285,1.5,0.4037931,0.6993561168895494,0.9810345,1.0,1.0,1.0,0.0,0.7111511685728493,0.49804040463337457,0.0,False,6.509658246656759,,,,,,,,,
fusion_cage_diamond,diamond,screen_c3241ff0,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_diamond,diamond,screen_bf965670,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_diamond,diamond,screen_1ec857f9,screen,,cached,0.0,reused existing output,4.0,0.3,0.5,674.5443,6000.0,2.988,4309.448,111.0853,0.0100987,0.3,42.0,0.88757595,2.988,118827.17577509976,2.8518522186023945,111.0853,185.14216666666667,5.131191975896001,3.1507319150238597,2300.0000000000005,1.0,0.3,4309.448,6.388680476582487,674.5443,0.0100987,4.0,0.11242405,1.0,0.08282700000000012,0.0,1.0,1.0,0.0,1.0,0.25956395699144236,0.0,False,0.14814778139760554,,,,,,,,,
fusion_cage_diamond,diamond,screen_1caa006a,screen,,cached,0.0,reused existing output,4.0,0.3,1.5,1662.9146,6000.0,7.367,3877.172,37.4835,0.0034076,0.3,41.9,0.7228475666666667,7.367,352154.0086864655,8.451696208475171,37.4835,62.4725,15.206690944015367,9.337441807728734,2300.0000000000005,1.0,0.3,3877.172,2.3315520833120353,1662.9146,0.0034076,4.0,0.2771524333333333,0.7698869194349885,1.0,0.0,1.0,1.0,0.0,0.8366857284932868,0.25,0.0,False,5.4516962084751714,,,,,,,,,
fusion_cage_diamond,diamond,screen_1dd3a361,screen,,cached,0.0,reused existing output,4.0,0.9,0.5,1849.6618,6000.0,8.193999999999999,8711.547,66.606,0.0060551,0.9,127.6,0.6917230333333333,8.193999999999999,198180.04657231094,4.756321117735462,66.606,111.01,8.5577875867039,5.254781851484852,1700.0000000000002,1.0,0.9,8711.547,4.709805327655034,1849.6618,0.0060551,4.0,0.3082769666666667,1.0,1.0,0.0,1.0,1.0,1.0,0.8058428642466434,0.3569588748403891,0.0,False,1.756321117735462,,,,,,,,,
fusion_cage_diamond,diamond,screen_bf65566c,screen,,cached,0.0,reused existing output,4.0,0.9,1.5,2620.4825,6000.0,11.609,7592.053,31.6241,0.0028749,0.9,127.6,0.5632529166666667,11.609,417405.8228112282,10.017739747469477,31.6241,52.70683333333333,18.024228357486855,11.067508640562103,1700.0000000000002,1.0,0.9,7592.053,2.8971966040605115,2620.4825,0.0028749,4.0,0.43674708333333334,0.6654840168353682,0.8162645833333334,0.0,1.0,1.0,1.0,0.6784808552958727,0.33219045728267654,0.0,False,7.017739747469477,,,,,,,,,
fusion_cage_diamond,diamond,screen_ad275d17,screen,,cached,0.0,reused existing output,2.75,0.6,1.0,2174.6796,6000.0,9.634,10806.377,43.9068,0.0039915,0.6,122.7,0.6375534,9.634,300638.8575723412,7.215332581736189,43.9068,73.178,12.982043783650825,7.971430393469805,1187.5,1.0,0.6,10806.377,4.969181207199442,2174.6796,0.0039915,2.75,0.36244659999999995,0.8523111612175874,1.0,0.0,1.0,1.0,1.0,0.7521382396817503,0.403306264064827,0.0,False,4.215332581736189,,,,,,,,,
fusion_cage_diamond,diamond,rsm_973dea26,rsm,,cached,0.0,reused existing output,1.5,0.6,1.0,3982.3478,6000.0,17.642000000000003,30608.607,29.6732,0.0019616,0.6,267.9,0.3362753666666667,17.642000000000003,611745.5138662317,14.681892332789559,29.6732,49.455333333333336,19.209252793766765,11.79515522424275,375.0000000000001,1.0,0.6,30608.607,7.686070764587663,3982.3478,0.0019616,1.5,0.6637246333333333,0.35454051114736274,0.0,0.37500000000000056,1.0,1.0,1.0,0.45348085529587256,0.8414237539431665,0.0,False,11.681892332789559,,,,,,,,,
fusion_cage_diamond,diamond,rsm_a74eb263,rsm,,cached,0.0,reused existing output,4.0,0.6,1.0,1604.2931,6000.0,7.106999999999999,6062.342,52.0442,0.0047313,0.6,76.9,0.7326178166666666,7.106999999999999,253630.08052755057,6.087121932661214,52.0442,86.74033333333333,10.952229066831656,6.725052935773824,2000.0,1.0,0.6,6062.342,3.7788244554564248,1604.2931,0.0047313,4.0,0.2673821833333334,0.9275252044892525,1.0,0.0,1.0,1.0,1.0,0.8463823968175037,0.2983461304791153,0.0,False,3.087121932661214,,,,,,,,,
fusion_cage_diamond,diamond,rsm_b8b943bc,rsm,,cached,0.0,reused existing output,2.75,0.3,1.0,1331.7638,6000.0,5.8999999999999995,6213.558,54.9216,0.0049929,0.3,55.0,0.7780393666666667,5.8999999999999995,240341.28462416632,5.768190830979992,54.9216,91.536,10.378430344345395,6.372720386878751,1487.5,1.0,0.3,6213.558,4.665660682472373,1331.7638,0.0049929,2.75,0.22196063333333327,0.9487872779346671,0.8130708888888885,0.0,1.0,1.0,0.0,0.8913973147687717,0.3016917321789967,0.0,False,2.768190830979992,,,,,,,,,
fusion_cage_diamond,diamond,rsm_8f532dab,rsm,,cached,0.0,reused existing output,2.75,0.9,1.0,3365.5691,6000.0,14.909,14737.685,32.517,0.0025207,0.9,218.4,0.4390718166666666,14.909,476058.2377910898,11.425397706986155,32.517,54.19500000000001,17.529292370144844,10.763600578159116,887.5000000000001,1.0,0.9,14737.685,4.378957781612625,3365.5691,0.0025207,2.75,0.5609281833333334,0.5716401528675896,0.19535908333333302,0.5624999999999994,1.0,1.0,1.0,0.5554077573346593,0.49028509386827007,0.5068137401381887,True,8.425397706986155,,,,,,,,,
fusion_cage_diamond,diamond,rsm_25c19597,rsm,,cached,0.0,reused existing output,2.75,0.6,0.5,1811.561,6000.0,8.024999999999999,11407.519,67.0714,0.0060974,0.6,124.8,0.6980731666666666,8.024999999999999,196805.19565716534,4.723324695771969,67.0714,111.78566666666666,8.498406176104869,5.218319581818778,1187.5,1.0,0.6,11407.519,6.297065900623827,1811.561,0.0060974,2.75,0.30192683333333337,1.0,1.0,0.0,1.0,1.0,1.0,0.8121456986573845,0.4166063229016572,0.0,False,1.7233246957719688,,,,,,,,,
fusion_cage_diamond,diamond,rsm_4fe9a9c9,rsm,,cached,0.0,reused existing output,2.75,0.6,1.5,2581.7099,6000.0,11.437,9740.659,31.8624,0.0028966,0.6,124.1,0.5697150166666667,11.437,414278.80963888695,9.942691431333287,31.8624,53.104,17.889424525459475,10.984734357738274,1187.5,1.0,0.6,9740.659,3.7729486957461797,2581.7099,0.0028966,2.75,0.4302849833333333,0.6704872379111142,0.8485750833333335,0.0,1.0,1.0,1.0,0.6848955743411238,0.3797276219079505,0.0,False,6.942691431333287,,,,,,,,,
fusion_cage_gyroid,gyroid,screen_ff8427a1,screen,,cached,0.0,reused existing output,1.5,0.3,0.5,3204.7933,6000.0,14.197,24469.204,28.7303,0.0020851,0.3,226.3,0.46586778333333334,14.197,575511.9658529568,13.81228718047096,28.7303,47.883833333333335,19.8396814512901,12.182260540265851,525.0,0.0,0.3,24469.204,7.635189451999916,3204.7933,0.0020851,1.5,0.5341322166666667,0.4125141879686026,0.32933891666666665,1.0,1.0,1.0,0.0,0.5819617105917454,0.7055915859645325,0.0,False,10.81228718047096,0.525,,,,,,,,
fusion_cage_gyroid,gyroid,screen_67b2dd89,screen,,cached,0.0,reused existing output,1.5,0.3,1.5,3730.3962,6000.0,16.526,20711.329,23.564,0.0016248,0.3,226.9,0.3782673,16.526,738552.4372230428,17.725258493353028,23.564,39.27333333333333,24.189441520964184,14.853165846206076,525.0,0.0,0.3,20711.329,5.552045383275911,3730.3962,0.0016248,1.5,0.6217327,0.1516494337764648,0.0,1.0,1.0,1.0,0.0,0.4951019393336648,0.622449901301918,0.0,False,14.725258493353028,0.525,,,,,,,,
fusion_cage_gyroid,gyroid,screen_c3241ff0,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_gyroid,gyroid,screen_bf965670,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_gyroid,gyroid,screen_1ec857f9,screen,,cached,0.0,reused existing output,4.0,0.3,0.5,1660.0037,6000.0,7.354,10538.969,72.3542,0.0045934,0.3,113.8,0.7233327166666667,7.354,261244.39413070926,6.269865459137022,72.3542,120.59033333333335,7.87791171763353,4.837314212581992,1900.0,0.0,0.3,10538.969,6.348762355168244,1660.0037,0.0045934,4.0,0.27666728333333335,0.9153423027241985,1.0,0.0,1.0,1.0,0.0,0.8371705619094978,0.3973899545515355,0.0,False,3.269865459137022,1.9,,,,,,,,
fusion_cage_gyroid,gyroid,screen_1caa006a,screen,,cached,0.0,reused existing output,4.0,0.3,1.5,2499.1116,6000.0,11.071,8843.411,40.8126,0.0025568,0.3,116.7,0.5834813999999999,11.071,469336.67083854816,11.264080100125156,40.8126,68.02100000000002,13.966275120918537,8.575782968985068,1900.0,0.0,0.3,8843.411,3.538621884672937,2499.1116,0.0025568,4.0,0.41651860000000007,0.5823946599916563,0.9174069999999998,0.0,1.0,1.0,0.0,0.6985454997513675,0.359876320233424,0.0,False,8.264080100125156,1.9,,,,,,,,
fusion_cage_gyroid,gyroid,screen_1dd3a361,screen,,cached,0.0,reused existing output,4.0,0.9,0.5,3431.7333,6000.0,15.203,10329.718,26.2105,0.0018917,0.9,242.9,0.42804445,15.203,634350.0555056299,15.224401332135116,26.2105,43.68416666666667,21.7470097861544,13.353427061673758,1300.0,0.0,0.9,10329.718,3.0100585030893865,3431.7333,0.0018917,4.0,0.57195555,0.3183732445243256,0.14022225000000002,0.0,1.0,1.0,1.0,0.5444430631526604,0.39276034854885133,0.0,False,12.224401332135116,1.3,,,,,,,,
fusion_cage_gyroid,gyroid,screen_bf65566c,screen,,cached,0.0,reused existing output,4.0,0.9,1.5,3919.6478,6000.0,17.364,8877.959,21.7316,0.001541,0.9,243.8,0.34672536666666665,17.364,778715.1200519144,18.689162881245945,21.7316,36.21933333333333,26.22908575530564,16.105578972556092,1300.0,0.0,0.9,8877.959,2.2649889615082253,3919.6478,0.001541,4.0,0.6532746333333334,0.08738914125027032,0.0,0.0,1.0,1.0,1.0,0.4638488314271506,0.3606406827845264,0.0,False,15.689162881245945,1.3,,,,,,,,
fusion_cage_gyroid,gyroid,screen_ad275d17,screen,,cached,0.0,reused existing output,2.75,0.6,1.0,3599.5759,6000.0,15.945999999999998,13350.978,23.7004,0.0017442,0.6,237.2,0.4000706833333334,15.945999999999998,687994.4960440317,16.511867905056757,23.7004,39.50066666666666,24.050227000388183,14.767683245852393,912.5,0.0,0.6,13350.978,3.7090419457469976,3599.5759,0.0017442,2.75,0.5999293166666666,0.23254213966288287,0.0003534166666668837,0.4375,1.0,1.0,1.0,0.5167329686723023,0.4596046811048226,0.0910126646997444,True,13.511867905056757,0.9125,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_973dea26,rsm,,cached,0.0,reused existing output,1.5,0.6,1.0,5213.9501,6000.0,23.098,22220.027,15.9336,0.0010612,0.6,366.9,0.13100831666666668,23.098,1130795.3260459858,27.13908782510366,15.9336,26.556,35.77345985841241,21.96615956218306,225.0,0.0,0.6,22220.027,4.261649339528585,5213.9501,0.0010612,1.5,0.8689916833333333,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.6558293227481121,0.0,False,24.13908782510366,0.225,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_a74eb263,rsm,,cached,0.0,reused existing output,4.0,0.6,1.0,2990.046,6000.0,13.246,9693.736,29.8228,0.0022296,0.6,188.2,0.5016590000000001,13.246,538213.1324004306,12.917115177610334,29.8228,49.70466666666667,19.11289349088617,11.735987231245891,1600.0,0.0,0.6,9693.736,3.242002296954629,2990.046,0.0022296,4.0,0.4983409999999999,0.4721923214926444,0.5082950000000004,0.0,1.0,1.0,1.0,0.6174291397314768,0.37868946676191084,0.0,False,9.917115177610334,1.6,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_b8b943bc,rsm,,cached,0.0,reused existing output,2.75,0.3,1.0,2503.5153,6000.0,11.091,13297.333,38.9138,0.0027464,0.3,149.2,0.5827474500000001,11.091,436935.6248179435,10.486454995630643,38.9138,64.85633333333334,14.647759920645116,8.994238547764546,1212.5,0.0,0.3,13297.333,5.311464643335713,2503.5153,0.0027464,2.75,0.41725254999999994,0.6342363336246238,0.9137372500000004,0.0,1.0,1.0,0.0,0.6977996021879662,0.4584178040336785,0.0,False,7.486454995630643,1.2125,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_8f532dab,rsm,,cached,0.0,reused existing output,2.75,0.9,1.0,4469.3394,6000.0,19.799,13482.321,18.8943,0.0012839,0.9,307.1,0.2551101,19.799,934652.2314822028,22.431653555572865,18.8943,31.490500000000004,30.167828392689856,18.52410515340605,612.5,0.0,0.9,13482.321,3.0166250072661747,4469.3394,0.0012839,2.75,0.7448899,0.0,0.0,1.0,1.0,1.0,1.0,0.37303580308304324,0.46251059955305246,0.0,False,19.431653555572865,0.6125,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_25c19597,rsm,,cached,0.0,reused existing output,2.75,0.6,0.5,3295.6389,6000.0,14.6,14244.337,27.8529,0.0019875,0.6,233.0,0.45072685,14.6,603773.5849056604,14.49056603773585,27.8529,46.4215,20.464655385974172,12.56601646507186,912.5,0.0,0.6,14244.337,4.3221777118846365,3295.6389,0.0019875,2.75,0.54927315,0.3672955974842767,0.25363425,0.4375,1.0,1.0,1.0,0.5669318746892094,0.4793699399994129,0.4447640340591751,True,11.49056603773585,0.9125,,,,,,,,
fusion_cage_gyroid,gyroid,rsm_4fe9a9c9,rsm,,cached,0.0,reused existing output,2.75,0.6,1.5,3787.6756,6000.0,16.779,12324.923,22.2585,0.0016155,0.6,232.0,0.36872073333333333,16.779,742804.0854224699,17.827298050139277,22.2585,37.0975,25.608194622279132,15.724330031224026,912.5,0.0,0.6,12324.923,3.2539542193106508,3787.6756,0.0016155,2.75,0.6312792666666667,0.14484679665738157,0.0,0.4375,1.0,1.0,1.0,0.4856663351566385,0.436903569104956,0.0,False,14.827298050139277,0.9125,,,,,,,,
fusion_cage_gyroid,gyroid,verify_82c18518,verify,alt1,cached,0.0,reused existing output,2.1158,0.3444,0.6395,2836.6735,6000.0,12.566,17447.25,33.095,0.0024386,0.3444,193.4,0.5272210833333333,12.566,492085.62289838435,11.810054949561223,33.095,55.15833333333333,17.223145490255327,10.575615651911166,819.3000000000001,0.0,0.3444,17447.25,6.150602104895047,2836.6735,0.0024386,2.1158,0.4727789166666667,0.5459963366959184,0.6361054166666664,0.9034999999999996,1.0,1.0,0.29599999999999993,0.6427896568871208,0.5502332823532137,0.688749817798686,True,8.810054949561223,0.8193,12.08379983556148,0.523201850472605,819.2383868154138,17.400728960664992,10.684658133741662,12.673364026199268,32.75724834795753,0.6793985653110471
fusion_cage_gyroid,gyroid,verify_9cafeebc,verify,alt2,cached,0.0,reused existing output,2.3255,0.3989,0.5152,2848.6575,6000.0,12.62,16580.353,33.502,0.0023597,0.3989,199.7,0.5252237500000001,12.62,508539.22108742635,12.204941306098231,33.502,55.836666666666666,17.013909617336278,10.447137484329293,880.1,0.0,0.3989,16580.353,5.820409438481109,2848.6575,0.0023597,2.3255,0.4747762499999999,0.5196705795934513,0.6261187500000005,0.5994999999999999,1.0,1.0,0.6593333333333331,0.6407757334659373,0.5310534860563791,0.6375255934709576,True,9.204941306098231,0.8801,11.813608573003933,0.5308735561037701,880.088164913468,16.960207793276567,10.414162680082102,12.469371631277053,33.6080788011313,0.6555403684787273
fusion_cage_kelvin,kelvin,screen_ff8427a1,screen,,cached,0.0,reused existing output,1.5,0.3,0.5,1859.1599,6000.0,8.236,21428.8,75.1017,0.0059026,0.3,128.3,0.6901400166666667,8.236,203300.24057195135,4.879205773726833,75.1017,125.1695,7.589708355469983,4.660347235814902,599.9999999999999,1.0,0.3,21428.8,11.52606615493374,1859.1599,0.0059026,1.5,0.3098599833333333,1.0,1.0,1.0,1.0,1.0,0.0,0.8042764793635007,0.6383236990297749,0.0,False,1.8792057737268326,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_67b2dd89,screen,,cached,0.0,reused existing output,1.5,0.3,1.5,2610.7755,6000.0,11.566,18256.884,36.4419,0.0028591,0.3,126.7,0.56487075,11.566,419712.4969395964,10.073099926550315,36.4419,60.73649999999999,15.64133593473447,9.604329082731692,599.9999999999999,1.0,0.3,18256.884,6.99289693809368,2610.7755,0.0028591,1.5,0.43512925,0.661793338229979,0.82435375,1.0,1.0,1.0,0.0,0.6800845350571854,0.5681461545802384,0.0,False,7.073099926550315,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_c3241ff0,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_bf965670,screen,,failed,0.0,cached: ntopcl exit code 2; see ntopcl.log,1.5,0.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_1ec857f9,screen,,cached,0.0,reused existing output,4.0,0.3,0.5,710.4042,6000.0,3.1470000000000002,4747.187,111.1121,0.0101011,0.3,44.6,0.8815993,3.1470000000000002,118798.94268941006,2.8511746245458416,111.1121,185.1868333333333,5.129954343406344,3.1499719652495095,2100.0,1.0,0.3,4747.187,6.682374625600469,710.4042,0.0101011,4.0,0.11840070000000003,1.0,0.12267133333333363,0.0,1.0,1.0,0.0,0.9940701143709597,0.2692487809684315,0.0,False,0.14882537545415842,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_1caa006a,screen,,cached,0.0,reused existing output,4.0,0.3,1.5,1697.2764,6000.0,7.518999999999999,4221.051,37.4676,0.0034061,0.3,45.0,0.7171206,7.518999999999999,352309.09251049586,8.4554182202519,37.4676,62.446,15.21314415655126,9.341404306654283,2100.0,1.0,0.3,4221.051,2.4869555718797485,1697.2764,0.0034061,4.0,0.2828794,0.76963878531654,1.0,0.0,1.0,1.0,0.0,0.8310169070114372,0.2576082039397519,0.0,False,5.4554182202519,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_1dd3a361,screen,,cached,0.0,reused existing output,4.0,0.9,0.5,2132.8784,6000.0,9.449000000000002,10438.338,69.4258,0.0049387,0.9,148.2,0.6445202666666667,9.449000000000002,242978.92157855307,5.831494117885274,69.4258,115.70966666666665,8.210204275643926,5.041353502588375,1500.0,1.0,0.9,10438.338,4.894014586110488,2132.8784,0.0049387,4.0,0.35547973333333327,0.9445670588076484,1.0,0.0,1.0,1.0,1.0,0.7590377921432123,0.395163528481141,0.0,False,2.831494117885274,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_bf65566c,screen,,cached,0.0,reused existing output,4.0,0.9,1.5,2840.6816,6000.0,12.584,8686.113,37.3206,0.0026597,0.9,147.3,0.5265530666666667,12.584,451178.704365154,10.828288904763694,37.3206,62.201,15.273066349415604,9.378198635606074,1500.0,1.0,0.9,8686.113,3.0577566313662183,2840.6816,0.0026597,4.0,0.4734469333333333,0.6114474063490871,0.6327653333333334,0.0,1.0,1.0,1.0,0.6421183490800597,0.35639615638708527,0.0,False,7.828288904763694,,,,,,,,,
fusion_cage_kelvin,kelvin,screen_ad275d17,screen,,cached,0.0,reused existing output,2.75,0.6,1.0,2418.5566,6000.0,10.714,12772.259,48.4033,0.0035308,0.6,142.3,0.5969072333333334,10.714,339866.31924776256,8.1567916619463,48.4033,80.67216666666667,11.776056591182833,7.23091194195437,1049.9999999999998,1.0,0.6,12772.259,5.280942773884226,2418.5566,0.0035308,2.75,0.4030927666666666,0.7895472225369133,0.9845361666666671,0.0,1.0,1.0,1.0,0.7118597712580805,0.4468007233876916,0.0,False,5.156791661946301,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_973dea26,rsm,,cached,0.0,reused existing output,1.5,0.6,1.0,4660.0781,6000.0,20.644,37776.007,33.5242,0.0012947,0.6,322.4,0.22332031666666674,20.644,926855.6422337221,22.244535413609334,33.5242,55.873666666666665,17.00264286694388,10.440219304263785,299.99999999999994,1.0,0.6,37776.007,8.106303411524369,4660.0781,0.0012947,1.5,0.7766796833333333,0.0,0.0,0.0,1.0,1.0,1.0,0.34152163102933863,1.0,0.0,False,19.244535413609334,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_a74eb263,rsm,,cached,0.0,reused existing output,4.0,0.6,1.0,1718.136,6000.0,7.611,6914.543,50.8391,0.0046217,0.6,86.1,0.713644,7.611,259644.71947551766,6.231473267412424,50.8391,84.73183333333333,11.211842853236979,6.884464909882354,1799.9999999999998,1.0,0.6,6914.543,4.024444514287577,1718.136,0.0046217,4.0,0.28635600000000005,0.9179017821725051,1.0,0.0,1.0,1.0,1.0,0.8275857782197911,0.31720078285876196,0.0,False,3.231473267412424,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_b8b943bc,rsm,,cached,0.0,reused existing output,2.75,0.3,1.0,1397.4552,6000.0,6.191000000000001,7202.402,54.6587,0.004969,0.3,60.3,0.7670908,6.191000000000001,241497.28315556448,5.795934795733547,54.6587,91.09783333333334,10.42834900939832,6.403372198753354,1349.9999999999998,1.0,0.3,7202.402,5.153941249780314,1397.4552,0.004969,2.75,0.23290920000000004,0.9469376802844301,0.8860613333333336,0.0,1.0,1.0,0.0,0.8805445052212828,0.32356956367379586,0.0,False,2.7959347957335474,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_8f532dab,rsm,,cached,0.0,reused existing output,2.75,0.9,1.0,3641.6849,6000.0,16.133000000000003,18130.494,40.7795,0.001997,0.9,240.6,0.39305251666666663,16.133000000000003,600901.3520280421,14.42163244867301,40.7795,67.96583333333334,13.977611299795239,8.582743780576026,749.9999999999999,1.0,0.9,18130.494,4.978600427510902,3641.6849,0.001997,2.75,0.6069474833333334,0.37189117008846595,0.0,1.0,1.0,1.0,1.0,0.5097588264545001,0.5653498195439459,0.0,False,11.42163244867301,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_25c19597,rsm,,cached,0.0,reused existing output,2.75,0.6,0.5,2082.1676,6000.0,9.224,13474.553,70.6858,0.0051212,0.6,144.5,0.6529720666666666,9.224,234320.08123096148,5.623681949543076,70.6858,117.80966666666667,8.063854409230707,4.951489549527627,1049.9999999999998,1.0,0.6,13474.553,6.471406528465815,2082.1676,0.0051212,2.75,0.34702793333333337,0.9584212033637949,1.0,0.0,1.0,1.0,1.0,0.7674291397314769,0.46233873523972135,0.0,False,2.6236819495430757,,,,,,,,,
fusion_cage_kelvin,kelvin,rsm_4fe9a9c9,rsm,,cached,0.0,reused existing output,2.75,0.6,1.5,2806.3516,6000.0,12.432,11357.991,38.1647,0.0026611,0.6,144.2,0.5322747333333333,12.432,450941.3400473488,10.822592161136372,38.1647,63.60783333333334,14.93526740679214,9.170778232240787,1049.9999999999998,1.0,0.6,11357.991,4.047244472146684,2806.3516,0.0026611,2.75,0.4677252666666667,0.6118271892575752,0.6613736666666665,0.0,1.0,1.0,1.0,0.6477871705619094,0.41551053303159236,0.0,False,7.822592161136372,,,,,,,,,
