response,n,log,chosen,order,rsm_r2,rsm_adj_r2,rsm_loo_rmse,rbf_loo_rmse,loo_rmse_rel,variant
lattice_volume,30,False,rbf,quadratic,0.9893758493016737,0.9845949814874269,154.2775151724923,138.07313313787859,0.17166973889153375,fusion_cage_diamond
mass,30,False,rbf,quadratic,0.9893710673231946,0.9845880476186322,0.6835515995077084,0.611686686382876,0.17167679682931292,fusion_cage_diamond
surface_area,30,False,rbf,quadratic,0.9797789478983263,0.9706794744525732,1689.5607220895427,1310.0396899812379,0.18330227989764988,fusion_cage_diamond
max_stress,30,True,rbf,quadratic,0.9884088301189174,0.9831928036724303,0.07898088312054741,0.05948148626986284,0.17773472717326333,fusion_cage_diamond
max_displacement,30,True,rbf,quadratic,0.9786011777233307,0.9689717076988295,0.11731980997987196,0.07834786026546563,0.19704234319751882,fusion_cage_diamond
min_thickness,30,False,rbf,quadratic,1.0,1.0,3.6995916375677534e-10,1.3559576395454547e-16,6.952262517205588e-16,fusion_cage_diamond
lattice_volume,31,False,rbf,quadratic,0.9908033845158317,0.9868619778797596,149.05499061153984,143.99017319960828,0.18468091595805178,fusion_cage_gyroid
mass,31,False,rbf,quadratic,0.9907993050579061,0.9868561500827231,0.6604017898986635,0.63801244084798,0.18471904304405964,fusion_cage_gyroid
surface_area,31,False,rsm,quadratic,0.9927071822966658,0.9895816889952368,596.7862555947398,623.5644369282979,0.1500518601901834,fusion_cage_gyroid
max_stress,31,True,rsm,quadratic,0.9971407524813687,0.9959153606876695,0.03046448952644408,0.05153095347740796,0.09594982663168836,fusion_cage_gyroid
max_displacement,31,True,rsm,quadratic,0.994364240398483,0.9919489148549757,0.0376929476926259,0.060045842828055446,0.12439855674372381,fusion_cage_gyroid
pore_size,31,False,rsm,quadratic,0.9999999988097673,0.9999999982996676,2.1993271787274206e-05,2.2587607391676637e-05,5.300570855501551e-05,fusion_cage_gyroid
min_thickness,31,False,rbf,quadratic,1.0,1.0,3.625622023457653e-10,1.691981581511166e-16,8.233289936089016e-16,fusion_cage_gyroid
lattice_volume,31,False,rbf,quadratic,0.9851060440782087,0.9787229201117267,284.1224333842247,206.34539614263971,0.2126474916051587,fusion_cage_kelvin
mass,31,False,rbf,quadratic,0.9851060562334379,0.9787229374763399,1.2586444758199333,0.9142021271056215,0.2126664312738548,fusion_cage_kelvin
surface_area,31,False,rbf,quadratic,0.9789074720501509,0.9698678172145013,2447.3822019258255,1653.9755953526142,0.19875163893222578,fusion_cage_kelvin
max_stress,31,True,rbf,quadratic,0.971554518846919,0.9593635983527414,0.12742136948600954,0.06653735911442481,0.21714622512276202,fusion_cage_kelvin
max_displacement,31,True,rbf,quadratic,0.9811939539063099,0.973134219866157,0.1587935418949664,0.10966159976396628,0.2253562109060552,fusion_cage_kelvin
min_thickness,31,False,rbf,quadratic,1.0,1.0,3.664419320237152e-10,1.299941617638577e-16,6.608934252975882e-16,fusion_cage_kelvin
lattice_volume,32,False,rsm,quadratic,0.9858027632328749,0.9799948027372327,218.3291846435761,233.46569300774095,0.23626134388996367,fusion_cage_octet
mass,32,False,rsm,quadratic,0.9858039948009992,0.9799965381286807,0.9671574016413506,1.0342949099662997,0.23624941801555036,fusion_cage_octet
surface_area,32,False,rbf,quadratic,0.9746468820143651,0.9642751519293327,2514.000008774333,2114.7399612733693,0.2746489105350245,fusion_cage_octet
max_stress,32,True,rbf,quadratic,0.9906366698404862,0.9868062165934123,0.08147091520117401,0.05441867955517712,0.152408375782873,fusion_cage_octet
max_displacement,32,True,rbf,quadratic,0.9936280884795987,0.9910213974030709,0.057594304176740586,0.05755116487983381,0.17250478773150302,fusion_cage_octet
min_thickness,32,False,rbf,quadratic,1.0,1.0,3.5779359535749795e-10,1.5883854151770845e-16,8.081217795979343e-16,fusion_cage_octet
