variant,factor,S1,ST
fusion_cage_diamond,Cell Size,0.02431743478584784,0.31582179287740036
fusion_cage_diamond,Strut Thickness,0.720544516035219,1.0
fusion_cage_diamond,Shell Thickness,0.0041700279592824805,0.012138225355180578
fusion_cage_gyroid,Cell Size,0.0,0.45278959112120765
fusion_cage_gyroid,Strut Thickness,0.6232854728659415,1.0
fusion_cage_gyroid,Shell Thickness,0.006723482521904859,0.05332327419194237
fusion_cage_kelvin,Cell Size,0.0,0.3947045566444593
fusion_cage_kelvin,Strut Thickness,0.60863041090355,1.0
fusion_cage_kelvin,Shell Thickness,0.0036622435028520932,0.006072246687615994
fusion_cage_octet,Cell Size,0.0,0.3541621455500158
fusion_cage_octet,Strut Thickness,0.6527541550024162,1.0
fusion_cage_octet,Shell Thickness,0.0,0.01666254990812897
